,Signal Id.,SNR,Method,Parameters,Iteration,Comp.0,Comp.1,Comp.2
0,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",0,-16.02140374765326,-15.651786154766636,
1,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",1,-16.402587748644287,-16.172836966967196,
2,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",2,-15.57121267434,-16.96060172638089,
3,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",3,-15.476625605481145,-16.000677560180062,
4,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",4,-16.010831634661464,-16.33548931679154,
5,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",5,-15.17834058330507,-16.416778189123914,
6,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",6,-15.968547835686692,-16.333855435205958,
7,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",7,-16.154896259752874,-16.322862668707526,
8,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",8,-16.20915045633088,-16.235322704128833,
9,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",9,-16.441159386019464,-15.75404165454689,
10,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",10,-16.30839283387512,-16.31745319231259,
11,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",11,-16.20297280292994,-16.7092639525047,
12,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",12,-16.598859335416755,-15.862656501935096,
13,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",13,-15.769762389840931,-16.712728072170048,
14,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",14,-15.605579502904002,-15.679881249723023,
15,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",15,-16.22617808458344,-15.885678323809262,
16,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",16,-16.384289249252536,-16.13018912518057,
17,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",17,-16.28476080193202,-16.307041713270614,
18,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",18,-16.815640190318963,-15.826175913943093,
19,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",19,-16.62807598649371,-15.466503130544936,
20,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",20,-15.622208681827615,-15.875769255576984,
21,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",21,-16.456663301749042,-16.23848414603014,
22,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",22,-15.540983353467626,-16.08439189303632,
23,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",23,-16.41585845295731,-15.967191476442682,
24,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",24,-16.539916038533946,-16.42994886136613,
25,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",25,-16.459186989778253,-16.326317801572657,
26,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",26,-16.32375681859764,-16.071305991909494,
27,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",27,-15.716094579770294,-16.41078973265103,
28,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",28,-15.260706942213869,-15.620613579003727,
29,McDampedCos,-20,em_method,"([], [], [], [], [], [], True)",29,-16.471802834731644,-15.515513344893844,
30,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",0,-17.642880431767168,-17.40100203237881,
31,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",1,-17.375976904695257,-17.452686891407854,
32,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",2,-17.32161852499689,-17.39137345669298,
33,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",3,-16.94438518098468,-17.166809736653146,
34,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",4,-17.386671049942954,-17.304425642112818,
35,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",5,-17.674316166276324,-16.922523744563744,
36,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",6,-17.291687951841475,-17.018106401836157,
37,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",7,-17.745668875356795,-17.120785255398083,
38,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",8,-16.9237695919761,-17.374277735681872,
39,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",9,-17.29129721402098,-17.199234127793133,
40,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",10,-17.307438986085227,-17.45992068695703,
41,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",11,-17.779826512053315,-17.21959833405,
42,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",12,-17.3856595206711,-16.91169363986865,
43,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",13,-17.52987424546977,-17.484663695865816,
44,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",14,-17.49173584628777,-17.366764834330162,
45,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",15,-17.450812818670386,-17.166005956200017,
46,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",16,-17.281200166145027,-17.658844742495056,
47,McDampedCos,-20,fri_method,"([], [], [], [], [], [], True)",17,-17.544627201207646,-17.29824088977597,
