,index,SNRin,Method,Parameter,Signal_id,Repetition,QRF
0,0,-20,brevdo_method,"((), {})",McCrossingChirps,0,-14.48287789627545
1,1,-20,brevdo_method,"((), {})",McCrossingChirps,1,-15.450098064488394
2,2,-20,brevdo_method,"((), {})",McCrossingChirps,2,-15.861816307540392
3,3,-20,brevdo_method,"((), {})",McCrossingChirps,3,-15.456798468742353
4,4,-20,brevdo_method,"((), {})",McCrossingChirps,4,-15.529345637747657
5,5,-20,brevdo_method,"((), {})",McCrossingChirps,5,-15.781387837311842
6,6,-20,brevdo_method,"((), {})",McCrossingChirps,6,-15.12484815883787
7,7,-20,brevdo_method,"((), {})",McCrossingChirps,7,-15.806036002578558
8,8,-20,brevdo_method,"((), {})",McCrossingChirps,8,-15.761259964947447
9,9,-20,brevdo_method,"((), {})",McCrossingChirps,9,-15.800745664199798
10,10,-20,brevdo_method,"((), {})",McCrossingChirps,10,-15.959983018924033
11,11,-20,brevdo_method,"((), {})",McCrossingChirps,11,-15.49451656856605
12,12,-20,brevdo_method,"((), {})",McCrossingChirps,12,-15.822956941391752
13,13,-20,brevdo_method,"((), {})",McCrossingChirps,13,-15.77686177981249
14,14,-20,brevdo_method,"((), {})",McCrossingChirps,14,-15.694370526475218
15,15,-20,brevdo_method,"((), {})",McCrossingChirps,15,-14.98057396442949
16,16,-20,brevdo_method,"((), {})",McCrossingChirps,16,-15.824916503942422
17,17,-20,brevdo_method,"((), {})",McCrossingChirps,17,-16.014102694169317
18,18,-20,brevdo_method,"((), {})",McCrossingChirps,18,-15.781197624933617
19,19,-20,brevdo_method,"((), {})",McCrossingChirps,19,-15.629895065949508
20,20,-20,brevdo_method,"((), {})",McCrossingChirps,20,-15.138308119400456
21,21,-20,brevdo_method,"((), {})",McCrossingChirps,21,-15.797468005393302
22,22,-20,brevdo_method,"((), {})",McCrossingChirps,22,-15.932576547725732
23,23,-20,brevdo_method,"((), {})",McCrossingChirps,23,-15.340913384655952
24,24,-20,brevdo_method,"((), {})",McCrossingChirps,24,-16.04404974449845
25,25,-20,brevdo_method,"((), {})",McCrossingChirps,25,-16.039245514047565
26,26,-20,brevdo_method,"((), {})",McCrossingChirps,26,-15.689270813682958
27,27,-20,brevdo_method,"((), {})",McCrossingChirps,27,-15.533428542221364
28,28,-20,brevdo_method,"((), {})",McCrossingChirps,28,-15.631630618413805
