,Signal Id.,SNR,Method,Parameters,Iteration,Comp.0,Comp.1
0,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",0,0.02002878248624257,0.012382520807230913
1,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",1,0.012180674290877021,0.03452114656148133
2,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",2,0.01622026465283072,0.005101737445372121
3,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",3,0.008348748442203317,0.03834046925350472
4,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",4,0.017551636938139072,0.013915802160015811
5,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",5,0.011155385992477706,0.0942393273503692
6,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",6,0.02144921481088069,0.01786253261477859
7,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",7,0.027955330804369755,0.005353936605100279
8,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",8,0.013613551940885406,0.016123514730842024
9,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",9,0.019993590330213595,0.0177463963287848
10,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",10,0.015657400754781215,0.005905755505738435
11,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",11,0.0075196621621690515,0.06637198597766734
12,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",12,0.011122964433630951,0.007697873512020817
13,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",13,0.021899996587638703,0.0023958203121467875
14,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",14,0.017491444220003278,0.07105160016395429
15,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",15,0.03346860669892117,0.002685063255274738
16,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",16,0.015656281772756967,0.020955028718489185
17,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",17,0.02710384609689569,0.003757064354861225
18,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",18,0.008381212048227699,0.0071594488744382515
19,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",19,0.009683660283473098,0.06193675721927925
20,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",20,0.03457276757872505,0.003544617347364073
21,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",21,0.013108750051713795,0.035253255326659586
22,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",22,0.04007367732688773,0.004000099485891836
23,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",23,0.011470368869870396,0.005900454745469271
24,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",24,0.008235400934231312,0.004576767006626836
25,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",25,0.018220312448373032,0.007493004943706372
26,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",26,0.011460772773466032,0.011512166512453997
27,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",27,0.01768293032885391,0.004500207767663179
28,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",28,0.020467123254200716,0.08487820390771936
29,McDampedCos,-20,em_method,"([], [], [], [], [], [], [], True)",29,0.013692334413907227,0.02446985672491568
30,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",0,0.01082047317723758,0.010890344936759382
31,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",1,0.011670076952264356,0.011771596642776772
32,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",2,0.012597830429905983,0.0064989083069342144
33,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",3,0.013393099121434857,0.008307890573254338
34,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",4,0.0116719961448177,0.009134421043042785
35,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",5,0.016080193266269038,0.014043136224923309
36,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",6,0.012945874985378737,0.00818201094115222
37,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",7,0.011458251458016478,0.008402401684831692
38,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",8,0.013018052261812319,0.009379137117774399
39,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",9,0.013640674741608134,0.009246053111994708
40,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",10,0.011111843627581,0.009684722237233762
41,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",11,0.01432134733015989,0.012322365971847816
42,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",12,0.014603204367248598,0.014862443353511667
43,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",13,0.013462418535908604,0.00862578299222169
44,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",14,0.017434000130307856,0.01149008626319744
45,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",15,0.012159590718654734,0.00965192362908964
46,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",16,0.01307599214753295,0.010186635307912473
47,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",17,0.012966201511732674,0.00929170212392454
48,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",18,0.012473353951276642,0.00817765747087973
49,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",19,0.009429252636378872,0.013398333932735299
50,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",20,0.013690549220577863,0.008777587042031465
51,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",21,0.011040699948375787,0.007726313629856816
52,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",22,0.01176858593320164,0.011156126643993236
53,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",23,0.012425928868324883,0.011398689123436258
54,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",24,0.013490076079786513,0.008967347885944225
55,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",25,0.013165779293743426,0.012672866873387938
56,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",26,0.010637322834378184,0.013187387611247874
57,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",27,0.01649201143631673,0.009472144231972872
58,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",28,0.015463979995605288,0.010154950273478474
59,McDampedCos,-20,fri_method,"([], [], [], [], [], [], [], True)",29,0.013063897417778463,0.0106785385467388
60,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",0,0.012645613685224561,0.1036101534490232
61,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",1,0.002864152971424211,0.011140635674971122
62,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",2,0.010474204955314174,0.001305521752216198
63,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",3,0.07900552233895021,0.007230568262382788
64,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",4,0.0033252550202187573,0.0024091087041077787
65,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",5,0.0034802299021958515,0.004299049747431718
66,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",6,0.02040576474744035,0.0030232480888013483
67,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",7,0.01865508039074927,0.011385598724859732
68,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",8,0.003388180208267647,0.005529788109108253
69,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",9,0.01222541828305062,0.0054813676401420895
70,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",10,0.019963067156584382,0.005081847401901529
71,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",11,0.025842403436272473,0.0008751506266770537
72,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",12,0.0028880895588693045,0.0015823592336089525
73,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",13,0.009390306441729264,0.000972042029875296
74,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",14,0.020588950799543995,0.0051477892257549155
75,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",15,0.013545755706040226,0.00234734703346535
76,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",16,0.008806732334990231,0.0033841392587732385
77,McDampedCos,-20,brevdo_method,"([], [], [], [], [], [], True)",17,0.008290638276943534,0.006970885116965683
